drg_code	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
871	39584581984.99	561795	70460.901192	0.176527
853	14168421658.00	78526	180429.687721	0.178159
291	14067296077.00	319702	44001.276429	0.179762
177	8793157384.00	166662	52760.421596	0.207834
267	6615328199.00	39207	168728.242380	0.196484
274	6447831632.00	52963	121742.190435	0.169437
3	6118580445.00	6835	895183.678859	0.184109
193	6027955064.00	125793	47919.638326	0.163897
870	5471008276.00	21332	256469.542284	0.179800
470	5178159593.00	71939	71979.866178	0.159854
280	5150205370.00	83150	61938.729645	0.163631
64	5034357278.00	63186	79675.201437	0.159751
481	4959985122.00	62714	79088.961348	0.162994
266	4420785428.00	20681	213760.718921	0.201104
454	4327197536.00	19004	227699.302042	0.174489
872	4138204746.00	104379	39645.951255	0.156253
189	4048156559.00	90117	44921.119866	0.173608
329	4041413709.00	23889	169174.670727	0.177380
698	4040720743.00	69521	58122.304671	0.175805
682	4001418545.00	76036	52625.316232	0.174093
247	3878439038.00	39950	97082.328861	0.119498
246	3824560952.00	27505	139049.661952	0.141321
25	3661423348.00	20387	179595.985089	0.172905
219	3635949128.00	11687	311110.561136	0.184786
377	3557033594.00	52419	67857.715599	0.169478
460	3497900070.00	26777	130630.767823	0.174715
65	3247899123.00	70626	45987.301036	0.134860
640	3222434107.00	69067	46656.639307	0.177751
286	3151766639.00	34931	90228.354155	0.157423
330	3108432212.00	33469	92874.965251	0.161673
378	3081480204.00	78557	39226.042288	0.151781
689	3076805209.00	75927	40523.202668	0.171894
522	2971902458.00	36951	80428.201077	0.161887
392	2867656190.00	86037	33330.499553	0.141221
690	2592196289.00	85997	30142.868809	0.158947
981	2555965027.00	15028	170080.185454	0.186084
208	2549977847.00	23460	108694.707886	0.162630
683	2546532400.00	77499	32858.906567	0.162816
455	2491746395.00	15538	160364.679817	0.175620
480	2415497122.00	22185	108879.744061	0.172948
23	2364182704.00	11156	211920.285407	0.181861
270	2360282499.00	11355	207862.835667	0.174503
4	2142189973.00	3963	540547.558163	0.179115
190	2132236216.00	53583	39793.147379	0.168846
252	2109974391.00	15600	135254.768654	0.176847
236	2053836813.00	12870	159583.279953	0.152586
18	2017762455.01	1303	1548551.385272	0.211140
314	2000103159.00	25782	77577.502094	0.183145
308	1989970493.00	44062	45162.963392	0.162796
235	1980864587.00	8572	231085.462786	0.163249
652	1974559525.00	6771	291620.074583	0.083274
233	1960379678.00	6657	294483.953432	0.159353
312	1850756623.00	49424	37446.516328	0.145826
467	1783460746.00	14387	123963.352054	0.173073
641	1775199241.00	59761	29704.978849	0.157406
1	1767380538.00	1328	1330858.838855	0.182280
309	1756896478.00	60037	29263.562103	0.147239
220	1752678718.00	8365	209525.250209	0.172762
603	1652299852.00	55702	29663.205127	0.173130
552	1627928469.00	40385	40310.225802	0.144603
287	1560820021.00	29116	53606.952226	0.121032
391	1506599190.00	30170	49936.996685	0.167005
163	1426949636.00	8521	167462.696397	0.184386
100	1326596571.00	16384	80969.028992	0.163009
243	1325717594.00	14941	88730.178301	0.162462
253	1314175333.00	12651	103879.166311	0.163374
281	1295696080.00	30752	42133.717482	0.132102
242	1292683685.00	10272	125845.374319	0.173957
207	1241402783.00	5088	243986.396030	0.186392
472	1179190448.00	10395	113438.234536	0.167197
234	1173005662.00	6031	194496.047422	0.151666
194	1172164133.00	37586	31186.189885	0.155283
393	1165575830.00	17726	65755.152319	0.169853
637	1161488959.00	21445	54161.294428	0.166670
164	1157527028.00	11737	98622.052313	0.169988
216	1143818263.00	2977	384218.428955	0.189140
885	1133934371.00	39666	28587.061236	0.275551
811	1129157552.00	20189	55929.345287	0.164848
178	1117831997.00	32920	33956.014490	0.192967
699	1112960645.00	28536	39001.985036	0.169068
269	1098557991.00	7418	148093.555001	0.182900
175	1098006660.00	20561	53402.395798	0.163397
854	1055512849.00	13252	79649.324555	0.155902
673	1034165408.00	7485	138165.051169	0.179334
483	1026407564.00	10770	95302.466481	0.155550
389	1001432269.00	30766	32549.966489	0.144861
271	998153157.00	7423	134467.621851	0.168133
812	985660038.00	27123	36340.376728	0.158701
468	958760253.00	9743	98405.034692	0.166457
69	936915701.00	21417	43746.355745	0.111637
493	934508318.00	9483	98545.641464	0.153023
394	915943460.00	23559	38878.707076	0.151711
650	874656923.00	2483	352258.124446	0.118427
57	872722480.00	19889	43879.656091	0.202025
101	861165767.00	21415	40213.204156	0.147868
638	860048967.00	25195	34135.700218	0.161118
331	858852039.00	12781	67197.561928	0.150103
273	833806918.00	4795	173890.910949	0.157312
418	805172948.00	10685	75355.446701	0.133503
521	795662441.00	7579	104982.509698	0.175939
453	760898076.00	1679	453185.274568	0.168903
834	717271463.00	2257	317798.610102	0.170129
441	708427534.00	9327	75954.490619	0.175042
884	706378451.00	13767	51309.541004	0.195956
432	706015453.00	8313	84929.081318	0.162576
326	678840797.00	3229	210232.516878	0.182455
322	672853779.00	6941	96939.025933	0.118561
91	664200834.00	9348	71052.720796	0.170609
660	661517878.00	11727	56409.813081	0.149413
56	658510248.00	8130	80997.570480	0.192572
5	645426616.00	926	697004.984881	0.154969
310	636301491.00	27083	23494.498062	0.121644
917	631981816.00	9955	63483.858965	0.172059
180	622863010.00	8262	75388.890099	0.154383
70	621122204.00	9957	62380.456362	0.178066
435	616938307.00	7529	81941.600080	0.149634
27	614665481.00	5531	111130.985536	0.159172
82	602199615.00	6116	98462.984794	0.167420
840	599113193.00	3726	160792.590714	0.164339
813	594300495.00	9468	62769.380545	0.188247
92	584952792.00	13383	43708.644698	0.153374
551	576522991.00	8452	68211.428183	0.159533
907	569575138.00	3515	162041.291038	0.179812
919	568645920.00	7366	77198.740157	0.176690
602	549744481.00	11518	47729.161400	0.184591
305	546482931.00	16119	33903.029406	0.128060
299	524911109.00	8262	63533.177076	0.165127
313	521002869.00	15366	33906.213003	0.129073
300	518331219.00	12414	41753.763412	0.159927
516	502727476.00	6147	81784.199772	0.155522
26	494099656.00	3770	131060.916711	0.167893
563	492755822.00	13388	36805.782940	0.142596
86	492121695.00	8229	59803.341232	0.139375
374	491332586.00	5602	87706.637986	0.168710
166	485815001.00	3137	154866.114441	0.173925
482	469854646.00	7192	65330.178810	0.150558
321	458620106.00	3243	141418.472402	0.135065
327	447920102.00	4114	108877.030141	0.164092
856	446964801.00	2611	171185.293374	0.186746
445	444047624.00	9172	48413.391191	0.146002
39	434504782.00	8892	48864.685335	0.133950
388	434259373.00	7859	55256.314162	0.171048
229	433100471.00	3290	131641.480547	0.165411
202	431974906.00	11312	38187.314887	0.151311
444	426463551.00	5706	74739.493691	0.155191
14	420916530.00	869	484368.849252	0.198845
191	414466953.00	13069	31713.746499	0.161611
85	408604249.00	4447	91883.123229	0.165167
66	407064321.00	11368	35807.910011	0.110689
83	405719547.00	6587	61593.980112	0.149965
659	398880362.00	3921	101729.243050	0.170681
982	395154750.00	4109	96168.106595	0.170418
24	395140167.00	2831	139576.180502	0.180936
215	393475086.00	905	434779.100552	0.167301
7	390835869.00	408	957931.051471	0.124693
405	387261559.00	1724	224629.674594	0.191388
71	381405111.00	9428	40454.509016	0.162142
457	379483667.00	1647	230409.026715	0.193278
417	372665225.00	3500	106475.778571	0.140963
643	368753121.00	5884	62670.482835	0.174512
205	366820301.00	4182	87714.084409	0.163358
228	361511391.00	1713	211039.924694	0.175333
406	360801217.00	2933	123014.393795	0.171856
54	357362200.00	5503	64939.523896	0.155423
165	355495490.00	4488	79210.225045	0.159663
315	349430464.00	8548	40878.622368	0.155439
264	346438482.00	2304	150363.924479	0.164219
862	340049004.00	4954	68641.300767	0.177243
176	336402881.00	10016	33586.549621	0.144507
948	336128118.00	10667	31511.026343	0.156167
36	325938786.00	4974	65528.505428	0.166285
371	325613101.00	4997	65161.717230	0.173691
847	325266211.00	6230	52209.664687	0.180195
239	323945398.00	1760	184059.885227	0.174499
244	316512454.00	4354	72694.638034	0.156285
536	314768635.00	9631	32682.861074	0.140054
372	308519339.00	8210	37578.482217	0.166078
543	301598365.00	7581	39783.454030	0.167299
987	301215935.00	1974	152591.659068	0.176290
356	299886545.00	1891	158586.221576	0.183958
16	299410077.00	1374	217911.264192	0.201817
897	295438877.00	12280	24058.540472	0.222933
956	293555916.00	1712	171469.577103	0.162637
464	287832163.00	2100	137062.934762	0.161455
617	285708129.00	4100	69684.909512	0.172720
149	281690718.00	7094	39708.305328	0.113917
519	273519660.00	3375	81042.862222	0.165803
196	261726555.00	3222	81231.084730	0.171170
74	254911186.00	5286	48223.833901	0.141291
184	254103584.00	5256	48345.430746	0.141415
473	251674525.00	2759	91219.472635	0.155358
808	249198227.00	2143	116284.753616	0.156937
466	248482002.00	1058	234860.115312	0.164916
439	246095932.00	6683	36824.170582	0.142841
38	237317166.00	3567	66531.305299	0.151924
282	235290483.00	6378	36890.950611	0.109636
644	226049809.00	5538	40817.950343	0.162014
857	219568632.00	2437	90097.920394	0.160624
846	216909469.00	1931	112330.123770	0.197368
390	214587347.00	9246	23208.668289	0.128091
304	212588603.00	4587	46345.891214	0.162439
35	211948268.00	2488	85188.210611	0.165122
542	211761209.00	3002	70540.042971	0.177989
375	210853027.00	3821	55182.681759	0.146661
463	210503052.00	687	306409.100437	0.148178
809	210466099.00	3466	60723.052222	0.154064
654	207795974.00	1546	134408.780078	0.153914
20	207697417.00	684	303651.194444	0.231433
605	203754943.00	4888	41684.726473	0.142702
62	199989471.00	2337	85575.297818	0.140163
657	199832606.00	2216	90177.168773	0.143651
