provider_id	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
50625	5555264476.00	15385	361083.163861	0.078931
330214	4845862093.99	25756	188144.979577	0.124255
330101	4626885592.00	27533	168048.726692	0.150134
50441	4227262187.00	11001	384261.629579	0.107709
100007	3415253783.99	31055	109974.361101	0.104755
450388	2342541951.00	17527	133653.332059	0.087906
50454	1945075855.00	7943	244879.246506	0.168904
390111	1815375117.00	7294	248886.086784	0.123466
330106	1729438447.00	12609	137159.048854	0.125807
390164	1723092061.01	6444	267394.795315	0.075502
450358	1678825542.00	9862	170231.752383	0.116786
390133	1593561428.00	15423	103323.700188	0.117092
100006	1585568752.00	12218	129773.183172	0.099332
330059	1468108151.00	9402	156148.495107	0.134083
220071	1438904419.00	13872	103727.250505	0.217190
490112	1393409655.00	7590	183584.934783	0.058973
310015	1327762023.00	11468	115779.736920	0.139387
220110	1268994981.00	11654	108889.220954	0.214982
330024	1250700282.00	9877	126627.547028	0.209881
100087	1246149460.00	16826	74060.944966	0.139220
140281	1235183101.00	9228	133851.658106	0.165045
50599	1207832132.00	6318	191173.176955	0.149186
330393	1203499115.00	12556	95850.518875	0.174606
170040	1179563121.00	9186	128408.787394	0.142009
450651	1176582278.00	4875	241350.210872	0.064397
330195	1163399004.01	10589	109868.637644	0.139130
360180	1130402263.00	10908	103630.570499	0.209064
100204	1128457009.00	7663	147260.473574	0.074248
290003	1062616923.00	4723	224987.703367	0.068193
100128	1051191868.00	7204	145917.805108	0.115526
310038	1034876598.00	6248	165633.258323	0.116244
100212	1032848664.00	8911	115907.155650	0.090492
240010	1032517293.00	14843	69562.574480	0.287746
450058	1031102947.00	7144	144331.319569	0.081774
50549	1028990355.00	5209	197540.862930	0.071731
170123	1027963585.00	5881	174794.012073	0.070216
440039	1021676697.00	8776	116417.125912	0.147714
330234	1011436536.00	4097	246872.476446	0.093331
330182	969585844.00	9765	99291.945110	0.135294
100258	962617762.00	5977	161053.666053	0.062641
260032	951084880.00	10161	93601.503789	0.213944
100088	945739628.00	12245	77234.759330	0.130566
390049	942144287.00	6778	139000.337415	0.100834
390027	926929032.00	4057	228476.468326	0.094419
60024	925960667.00	5573	166151.205275	0.127454
50180	902349441.00	5259	171581.943525	0.101697
310001	900808222.00	7693	117094.530352	0.175235
10033	871357322.00	7815	111498.057837	0.160607
140088	869354614.00	6110	142283.897545	0.162896
310073	866539033.00	8364	103603.423362	0.144805
50380	863400688.00	3638	237328.391424	0.064231
50025	856563776.00	5930	144445.830691	0.194906
50464	852019042.00	2815	302671.062877	0.059190
450775	848672386.00	4744	178893.841906	0.067370
450647	840001523.00	3366	249554.819667	0.063578
290039	827550605.00	4816	171833.597384	0.084864
450431	809836569.00	5073	159636.619160	0.088209
110035	798800234.00	7821	102135.306738	0.139722
310022	786663375.00	7697	102203.894374	0.084599
420085	785873597.00	6252	125699.551663	0.093240
50324	779658232.00	5439	143345.878286	0.111601
180088	777424988.00	11355	68465.432673	0.162749
50039	767819017.00	6971	110144.744943	0.109973
90011	760486191.00	7088	107292.069836	0.206249
80001	754975300.00	16792	44960.415674	0.254888
70022	742661520.00	10315	71998.208434	0.242910
340113	729221703.00	7080	102997.415678	0.180284
390174	719487858.00	7136	100825.092209	0.186476
100080	717004795.00	5276	135899.316717	0.084409
10104	716407890.00	4275	167580.792982	0.061433
370093	715431283.00	4257	168059.967818	0.110091
50022	713085143.00	2704	263714.919749	0.073372
50308	705173436.00	4870	144799.473511	0.121183
50496	702291537.00	3438	204273.280105	0.101991
490118	695068460.00	4080	170359.916667	0.062287
440048	682477768.00	10105	67538.621277	0.160072
420079	680860274.00	4611	147660.003036	0.079272
450229	678042495.00	5610	120863.189840	0.095863
110029	677255415.00	8105	83560.199260	0.143622
390006	675407000.00	5177	130463.009465	0.112975
150056	667751047.00	6237	107062.858265	0.161652
110083	662095346.00	5652	117143.550248	0.122336
450184	660043513.00	10244	64432.205486	0.198463
370028	659526167.00	5579	118215.839218	0.121995
440082	652076774.00	7539	86493.802096	0.153475
50262	650248050.00	4145	156875.283474	0.231869
100113	634569837.00	7915	80173.068478	0.193329
490032	630555177.00	5619	112218.397758	0.168928
50573	621556583.00	7098	87567.847704	0.161648
310086	619357128.00	7428	83381.411955	0.124884
340030	617150094.00	7508	82199.000266	0.237958
440161	616469250.00	3612	170672.549834	0.091996
100286	611807551.00	4925	124224.883452	0.073459
420004	610653283.00	7719	79110.413655	0.217357
100151	608526008.00	7960	76447.990955	0.198568
30103	603365848.00	8922	67626.748263	0.218766
10039	603110050.00	9321	64704.436219	0.155592
230046	602581471.00	7172	84018.610011	0.222355
50239	598959593.00	5063	118301.321944	0.132995
60034	596921971.00	2326	256630.254084	0.060777
360006	594802052.00	8482	70125.212450	0.186451
50696	594095164.00	2920	203457.247945	0.188005
330198	593418008.00	4821	123090.231902	0.120461
340002	592578445.00	9198	64424.705914	0.169179
100220	592182698.00	8246	71814.540141	0.130100
450068	591394467.00	4452	132837.930593	0.166465
450102	588300826.00	5915	99459.142181	0.111348
520098	587381373.00	7388	79504.787899	0.212798
140010	580836137.00	13011	44641.928906	0.226791
160058	580308485.00	5905	98274.087214	0.191492
520138	579585754.00	6561	88338.020729	0.159565
310076	576737397.00	5114	112776.182440	0.141569
310041	574597939.00	7488	76735.835871	0.117775
140067	572233454.00	7010	81631.020542	0.152716
330046	571274179.00	5168	110540.669311	0.172907
100018	569693756.00	10293	55347.688332	0.169858
490009	567844843.00	6018	94357.733965	0.213502
450040	567635724.00	3783	150049.094370	0.074393
50351	565663552.00	4706	120200.499788	0.105088
330160	564936194.00	7154	78967.877271	0.194240
230130	563203632.00	9567	58869.408592	0.192764
220163	556044729.00	8956	62086.280594	0.271067
450044	553816320.00	7206	76854.887594	0.210414
50145	552808116.00	4629	119422.794556	0.155855
