state,total_revenue_gap,total_discharges,gap_per_discharge,weighted_efficiency
CA,56206898218.0,441929.0,127185.358322,0.13729
FL,39304499003.99,442286.0,88866.703906,0.118183
TX,31323743171.0,332232.0,94282.739685,0.130246
NY,31115367863.0,329669.0,94383.663199,0.17059
PA,18376984282.01,227069.0,80931.277638,0.146109
NJ,16634655809.0,172827.0,96250.330151,0.130833
IL,12837877901.0,223982.0,57316.56071,0.188269
OH,9280392194.0,177100.0,52401.988673,0.196826
VA,9018701847.0,153255.0,58847.684232,0.179738
GA,8878786845.0,128054.0,69336.270987,0.164391
AZ,7455100183.0,93809.0,79471.054835,0.15465
TN,7426278720.0,118691.0,62568.170459,0.168648
NC,7392817006.0,152408.0,48506.751653,0.21838
SC,6309549046.0,93263.0,67653.292796,0.158098
MA,6040756783.0,183445.0,32929.525378,0.333238
IN,5998281667.0,110234.0,54414.079749,0.182319
WA,5915655459.0,84147.0,70301.442226,0.186207
MO,5902210639.0,104952.0,56237.238347,0.190623
NV,5802689173.0,43038.0,134827.110298,0.09481
MI,5683426101.0,140175.0,40545.219197,0.244985
CO,5314395339.0,46569.0,114118.73433,0.121715
AL,4725972129.0,70322.0,67204.745727,0.147131
OK,4591667330.0,71453.0,64261.365233,0.165397
KY,4133756489.0,73349.0,56357.366685,0.174471
KS,3976145273.0,51595.0,77064.546429,0.14947
MN,3845007702.0,73158.0,52557.583614,0.253595
WI,3380375317.0,66915.0,50517.452245,0.217114
LA,3296682925.0,60953.0,54085.654931,0.172058
CT,2850745820.0,55936.0,50964.420409,0.24371
MS,2670417009.0,55640.0,47994.554439,0.190219
AR,2314336111.0,55312.0,41841.48306,0.218176
IA,2087956966.0,46389.0,45009.742956,0.21311
OR,1824655770.0,36366.0,50174.772315,0.268989
NE,1761622738.0,33434.0,52689.55967,0.223113
WV,1739896834.0,37699.0,46152.333855,0.1963
DC,1714751598.0,16246.0,105549.156592,0.182972
NH,1238354652.0,24659.0,50219.175636,0.225342
SD,1193298241.0,21074.0,56624.192892,0.203304
UT,1191959549.0,23134.0,51524.144074,0.241569
DE,1114425466.0,26876.0,41465.451183,0.25011
AK,1097772012.0,9387.0,116945.990412,0.150792
NM,977931074.0,18370.0,53235.224496,0.205239
ID,916254245.0,16326.0,56122.396484,0.205297
HI,627936887.0,10883.0,57698.877791,0.238165
ME,609797402.0,13805.0,44172.213111,0.245002
ND,608617424.0,17156.0,35475.485195,0.271232
MD,560907650.0,130663.0,4292.781047,0.831878
MT,477994656.0,15027.0,31809.054103,0.304816
RI,443096354.0,13958.0,31744.974495,0.307937
VT,381211846.0,9306.0,40964.092628,0.194778
WY,203916830.0,5800.0,35158.074138,0.311222
